Category: All categories

Month,soylent: (Worldwide),huel: (Worldwide),meal replacement: (Worldwide)
2004-01,40,0,26
2004-02,22,3,23
2004-03,36,3,18
2004-04,31,0,20
2004-05,30,3,16
2004-06,28,4,21
2004-07,31,0,19
2004-08,30,3,19
2004-09,29,0,18
2004-10,29,6,20
2004-11,25,3,18
2004-12,24,4,16
2005-01,24,2,24
2005-02,24,4,17
2005-03,40,5,21
2005-04,26,2,15
2005-05,34,0,18
2005-06,48,0,22
2005-07,33,0,25
2005-08,33,3,20
2005-09,33,2,20
2005-10,27,2,14
2005-11,27,4,9
2005-12,25,2,10
2006-01,26,3,19
2006-02,24,1,16
2006-03,23,1,20
2006-04,32,1,17
2006-05,28,3,17
2006-06,20,0,21
2006-07,31,6,23
2006-08,25,2,16
2006-09,33,4,15
2006-10,26,2,16
2006-11,25,5,15
2006-12,18,1,11
2007-01,21,4,20
2007-02,25,3,22
2007-03,23,3,20
2007-04,22,3,18
2007-05,29,4,17
2007-06,26,4,19
2007-07,24,3,19
2007-08,21,3,17
2007-09,25,3,19
2007-10,23,2,16
2007-11,21,4,15
2007-12,26,3,11
2008-01,25,4,21
2008-02,23,4,18
2008-03,22,3,15
2008-04,44,4,19
2008-05,24,4,18
2008-06,27,5,16
2008-07,31,2,17
2008-08,23,4,18
2008-09,22,3,15
2008-10,19,2,14
2008-11,20,2,13
2008-12,24,3,11
2009-01,22,4,22
2009-02,19,4,17
2009-03,22,3,20
2009-04,25,3,21
2009-05,18,3,19
2009-06,21,3,19
2009-07,28,3,21
2009-08,33,3,20
2009-09,22,2,20
2009-10,20,2,17
2009-11,21,2,17
2009-12,20,2,15
2010-01,19,2,24
2010-02,21,2,22
2010-03,18,3,19
2010-04,19,2,22
2010-05,17,3,23
2010-06,18,2,22
2010-07,21,3,21
2010-08,21,2,20
2010-09,22,3,17
2010-10,22,3,18
2010-11,20,2,17
2010-12,18,3,14
2011-01,19,2,23
2011-02,24,3,23
2011-03,23,2,22
2011-04,23,2,22
2011-05,20,2,23
2011-06,22,2,22
2011-07,23,3,23
2011-08,26,3,23
2011-09,24,2,26
2011-10,22,3,22
2011-11,23,2,21
2011-12,23,2,20
2012-01,25,3,33
2012-02,20,3,31
2012-03,23,3,30
2012-04,23,3,32
2012-05,24,2,30
2012-06,24,2,30
2012-07,20,2,32
2012-08,22,3,29
2012-09,20,3,31
2012-10,19,2,26
2012-11,19,2,21
2012-12,26,2,19
2013-01,21,9,38
2013-02,27,2,33
2013-03,38,2,35
2013-04,25,3,36
2013-05,33,2,34
2013-06,40,2,34
2013-07,29,2,36
2013-08,68,2,38
2013-09,42,3,32
2013-10,39,4,32
2013-11,44,2,27
2013-12,36,2,25
2014-01,42,2,44
2014-02,36,2,40
2014-03,35,2,42
2014-04,52,2,42
2014-05,100,2,42
2014-06,92,2,39
2014-07,62,2,38
2014-08,55,2,36
2014-09,45,2,33
2014-10,53,2,30
2014-11,58,2,28
2014-12,47,3,26
2015-01,48,2,47
2015-02,42,2,44
2015-03,50,3,45
2015-04,51,2,44
2015-05,50,2,41
2015-06,61,3,43
2015-07,49,4,42
2015-08,76,3,41
2015-09,57,5,40
2015-10,55,4,33
2015-11,51,5,32
2015-12,43,4,28
2016-01,45,6,52
2016-02,52,7,49
2016-03,45,8,50
2016-04,54,8,50
2016-05,49,9,50
2016-06,54,9,46
2016-07,56,8,46
2016-08,65,10,44
2016-09,54,10,46
2016-10,67,8,42
2016-11,46,7,36
2016-12,35,9,35
2017-01,54,12,54
2017-02,54,11,50
2017-03,51,12,52
2017-04,48,12,52
2017-05,53,13,54
2017-06,48,11,50
2017-07,53,15,50
2017-08,50,16,48
2017-09,46,18,47
2017-10,51,19,43
2017-11,44,16,40
2017-12,35,13,36
2018-01,46,28,60
2018-02,44,26,55
2018-03,44,25,52
2018-04,43,31,62
2018-05,39,33,54
2018-06,35,34,53
2018-07,38,35,53
2018-08,38,38,48
2018-09,36,37,43
2018-10,34,37,40
2018-11,30,37,38
2018-12,30,26,36
2019-01,38,44,58
2019-02,35,37,48
2019-03,32,33,51
2019-04,36,35,51
2019-05,31,40,49
2019-06,34,39,54
2019-07,33,39,53
2019-08,35,38,48
2019-09,40,40,43
2019-10,34,38,40
2019-11,35,43,38
2019-12,27,29,34
2020-01,36,52,56
2020-02,28,44,52
2020-03,40,45,40
2020-04,33,33,41
2020-05,36,32,52
2020-06,28,30,50
2020-07,33,35,49
2020-08,30,32,49
2020-09,22,36,42
2020-10,19,27,38
2020-11,21,25,36
2020-12,22,22,34
2021-01,25,45,52
2021-02,23,40,48
2021-03,27,39,51
2021-04,27,38,47
2021-05,23,48,46
2021-06,22,50,44
2021-07,22,44,49
2021-08,23,45,45
2021-09,20,44,41
2021-10,20,38,35
2021-11,20,37,33
2021-12,36,33,32
2022-01,56,70,45
2022-02,26,57,45
2022-03,23,56,40
2022-04,24,49,37
2022-05,31,56,38
2022-06,26,51,41
2022-07,27,50,36
2022-08,29,59,40
